==21492== NVPROF is profiling process 21492, command: ./encryptApp
==21492== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21492== Profiling application: ./encryptApp
==21492== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
3.36798s  887.34us                    -               -         -         -         -  2.6367MB  2.9019GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.48467s  784.26us                    -               -         -         -         -  2.6367MB  3.2833GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.48590s  916.92us                    -               -         -         -         -  2.6367MB  2.8082GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.48698s  41.822ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [264]
3.52927s  1.2514ms                    -               -         -         -         -  2.6367MB  2.0577GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.64546s  835.98us                    -               -         -         -         -  2.6367MB  3.0801GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.64643s  6.6178ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [273]
3.65325s  800.72us                    -               -         -         -         -  2.6367MB  3.2158GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.77824s  1.3532ms                    -               -         -         -         -  2.6367MB  1.9028GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.78053s  1.3835ms                    -               -         -         -         -  2.6367MB  1.8612GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
