==23275== NVPROF is profiling process 23275, command: ./encryptApp
==23275== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23275== Profiling application: ./encryptApp
==23275== Profiling result:
==23275== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int, int, unsigned char*)
          5                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)     9686463    12214389    11539859
          5                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)     3015000     3015000     3015000
          5                        l2_read_throughput                                                 L2 Throughput (Reads)  6.4359GB/s  7.3794GB/s  6.9354GB/s
          5                       l2_write_throughput                                                L2 Throughput (Writes)  2.2951GB/s  3.4639GB/s  3.1057GB/s
          5                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  2.2823MB/s  2.3374MB/s  2.3140MB/s
          5                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)        7736        7886        7810
          5                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          5                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          5                          gld_transactions                                              Global Load Transactions     8363702     8363702     8363702
          5              gld_transactions_per_request                                  Global Load Transactions Per Request    0.998281    0.998281    0.998281
          5                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (2)     Low (1)
          5                          dram_utilization                                             Device Memory Utilization    Max (10)    Max (10)    Max (10)
          5                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          5                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          5                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          5                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          5                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          5                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          5             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          5                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    2.379157    2.409176    2.393801
          5                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          5                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
